Gene,Importance
ZNF648 (127665),0.00083808904
CISD1 (55847),0.0008332334
ATP10D (57205),0.00082827796
HNF1B (6928),0.0008229522
ZFPL1 (7542),0.0008216574
S100B (6285),0.0008216269
RNF103 (7844),0.00081912434
ACTR3C (653857),0.000818723
TCN1 (6947),0.0008161005
INCA1 (388324),0.0008147758
LDOC1 (23641),0.00081187545
DYNC1LI2 (1783),0.0008118287
MRGPRG (386746),0.0008067273
JUN (3725),0.000800534
CCDC80 (151887),0.0008000383
GYPA (2993),0.00079905376
SCN8A (6334),0.00079742825
EMC8 (10328),0.00079464586
ANKRD40 (91369),0.0007913071
TRIM69 (140691),0.00079031667
UBE2D2 (7322),0.00077959
ZNF117 (51351),0.0007748069
TRIM13 (10206),0.00077111163
GJA1 (2697),0.00076821836
PSG5 (5673),0.00075337314
ZNF347 (84671),0.0007522528
TEAD3 (7005),0.0007507946
HAVCR1 (26762),0.00075069297
HCCS (3052),0.00074729405
TMEM106C (79022),0.00074533856
ACTR10 (55860),0.0007447341
TMEM229B (161145),0.0007433642
ACKR3 (57007),0.000742292
MBL2 (4153),0.0007410321
ZNF185 (7739),0.0007379528
BRINP1 (1620),0.00073595636
CRACR2A (84766),0.0007322644
UTRN (7402),0.0007308486
KIAA0319L (79932),0.0007296998
CTTNBP2NL (55917),0.0007266823
DXO (1797),0.0007264524
CAPN3 (825),0.0007262079
SLC6A19 (340024),0.00072224485
INPPL1 (3636),0.0007221134
SH3D21 (79729),0.0007178695
SLC2A11 (66035),0.00071638066
MREG (55686),0.00071392057
CLN3 (1201),0.0007107838
SYN3 (8224),0.00071022206
DLG2 (1740),0.0007099222
EGFR (1956),0.0007094321
APOD (347),0.00070816884
FAM220A (84792),0.00070719334
MTCH1 (23787),0.00070674
CCN5 (8839),0.00070661254
ARHGAP29 (9411),0.00070406694
CAMSAP2 (23271),0.0007033037
TMEM9 (252839),0.0007021108
PER3 (8863),0.00070095
ENO4 (387712),0.0006997487
KCNIP1 (30820),0.0006996677
ELAPOR1 (57535),0.0006954411
